cinema ID number,objectid,filename,title,alternatives names,venue type,opened,date,closed,county,city,street,location,proprietor,manager,projectionist,musical director,soloists,architect,seats,projector,description,references,notes,latitude,longitude,field1
55,Cinema55,,"Electric Theatre, Cork",,Cinema,27-Dec-09,1909,c. 31/03/1910,Cork,Cork,9 Maylor Street,"Cork, County Cork",Irish Electric Theatres,"Allan S. Davenport (Dec. 1909-Feb. 1910), Cornelius Fielding (Mar.-ca.May 1910)",,,,,800,,"Proprieter: Irish Electric TheatresManager: Allan S. Davenport (Dec. 1909-Feb. 1910), Cornelius Fielding (Mar.-ca.May 1910)Musical Director: ","CC 23/12/1909; Bio 06/01/1910, Bio 10/03/1910 (Corporation prosecution)",Map location is approximate,51.898762,-8.468573,0
56,Cinema56,,Caherciveen Cinema,,Cinema,25-Aug-17,1917,,Kerry,Caherciveen,,"Caherciveen, County Kerry",,,,,,,,,Proprieter: Manager: Musical Director: ,"KN 01/12/1916 (location Carnegie Library, ); KM 25/08/1917; CE 05/04/1919 (location)","Map location is approximation, based on newspaper report on non-payment of rent to council",51.947375,-10.221657,0
57,Cinema57,,"Cinema, Waterville",,Cinema,01-Jan-16,1916,,Kerry,Waterville,,"Waterville, County Kerry",,,Edward McCabe,,,,,,Proprieter: Manager: Musical Director: ,Kerryman 08/01/1916 (opening); II 31/03/1916 (McCabe),Map location is approximate; historical sources do not give exact location,51.82790861702853,-10.172558989952696,0
58,Cinema58,,Galway Cinema Theatre,"Gaiety, Galway Empire Cinema",Cinema,08-Apr-12,1912,,Galway,Galway,William Street,"Galway, County Galway","Galway Cinema Co. (I. I. Bradlaw, Robert Mackie)","Phil Mace, Mr Mackie (1913?), Alf Thomas (Dec. 1914)",,A. E. Glennon,,,1000,Kamm,"Proprieter: Galway Cinema Co. (I. I. Bradlaw, Robert Mackie)Manager: Phil Mace, Mr Mackie (1913?), Alf Thomas (Dec. 1914)Musical Director: A. E. Glennon","GE 13/04/1912 (opening; Mackie and Mace; Glennon), Bio 30/05/1912 (projector, tip-up seats, Gaumont film service), 27/11/1913 (Mackie), 10/12/1914 (Thomas); GI 29/10/1914 (history, seats), 31/12/1914",,53.273913925467994,-9.052051140918694,0
59,Cinema59,,USA Picture Palace,Court Theatre,Cinema,17-Mar-11,1911,,Galway,Galway,Middle Street,"Galway, County Galway",Emily O'Shaughnessy,Mr Walsh,F. McDonald,,"Eva Power (piano), P. Larkin (violin)",,,,Proprieter: Emily O'ShaughnessyManager: Mr WalshMusical Director: ,GE Jan-Feb 1912,First show was the Bohemian,"53.271741682944814, -9.052667218691301",-9.052667218691301,0
60,Cinema60,,"Picturedrome, Tralee",,Cinema,24-Feb-14,1914,,Kerry,Tralee,33 Upper Castle Street,"Tralee, County Kerry",George Murphy and Patrick Coffey,J.J. Martin,,Bridie (Bridget) Crean,"Bridget Crean, P. J. McCaughey",,,,Proprieter: George Murphy and Patrick CoffeyManager: J.J. MartinMusical Director: Bridie (Bridget) Crean,"KN 20/02/1914 (Collegians ad), 23/02/1914 (opening); KS 24 Dec 1913; KE 10/01/1914 (propietors, address, building details); KWR 01/04/1916 (McCaughey)",Opened with live plays by local drama group The Collegians; opened for film on 27/02/1914,52.269111,-9.701882,0
61,Cinema61,,"Theatre Royal, Tralee",,Multipurpose venue,24-Oct-12,1912,,Kerry,Tralee,Godfrey Place,"Tralee, County Kerry",Irish Animated Picture Company (James T. Jameson and Sons; 1913-15); John McEnery & George Raymond (1916-17); P.J. Cahill,"J.J. Martin (1912), R. V. Howard (1915)",Eugene Swords (1915),1916: Ladies' Orchestra,,,750,,"Proprieter: Irish Animated Picture Company (James T. Jameson and Sons; 1913-15); John McEnery & George Raymond (1916-17); P.J. CahillManager: J.J. Martin (1912), R. V. Howard (1915)Musical Director: 1916: Ladies' Orchestra","KLW 31/10/192 (opening, Martin); Bio 11/06/1914; KE 28/05/1910 (seats: 800), 08/07/1911 (seats: 750), 30/01/1915 (Howard); Kerry Weekly Reporter 27/11/1915 (Swords)",Theatre Royal opened 31/05/1910,52.267871,-9.708920,0
62,Cinema62,,Protestant Hall,,Multipurpose venue,,1899,,Antrim,Ballymena,Galgorn Road,"Ballymena, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Ballymena Observer 24/02/1911,"Occasional screenings by travelling companies, particularly in the early period",54.8645827717333,-6.2821202439097465,0
63,Cinema63,,CPA Assembly Hall,,Multipurpose venue,,1899,,Antrim,Belfast,May Street,"Belfast, County Antrim",,,Alexander Robert Hogg,,,,,,Proprieter: Manager: Musical Director: ,BETelegraph 03/01/1911,Belfast Evening Telegraph 03/01/1911,54.596050,-5.934400,0
64,Cinema64,,Princess Picture Palace,,Cinema,28-Mar-10,1910,c.1917,Down,Belfast,308 Newtownards Road,"Belfast, County Down",Irish Electric Theatres,(Captain) T.A. Blake; 1913: W. J. Anderson,,,,,,,Proprieter: Irish Electric TheatresManager: (Captain) T.A. Blake; 1913: W. J. AndersonMusical Director: ,"Bio 07/04/1910 (opening, Blake), 28/08/1913; Cinema Yearbook, 1915; Hughes 134",,54.598658,-5.895410,0
65,Cinema65,,Shaftesbury Pictoria,"The Picture House, Shaftesbury Square",Cinema,19-Dec-10,1910,,Antrim,Belfast,6 Shaftesbury Square,"Belfast, County Antrim",Ulster Electric Theatres,"Thomas Patton (1910-110, E.P Baskeyfield (1911-)",,,,Moore & Flannagan,200,,"Proprieter: Ulster Electric TheatresManager: Thomas Patton (1910-110, E.P Baskeyfield (1911-)Musical Director: ","Cine Yrbook, 1915; Hughes 140 (opening date, street number, architects, Baskeyfield, closing); BN 27/12/1910 (Patton, decoration)",,54.589935,-5.933521,0
66,Cinema66,,Royal Hippodrome,,Theatre,01-Apr-07,1907,,Antrim,Belfast,Great Victoria Street (Grosvenor Road intersection),"Belfast, County Antrim","Belfast Royal Hippodrome Co. (C.W. Henderson, J.K. Black, E.K. Savage, G.W. Smith, F. Wilmot)",Will Sley (MD) and Harry Downs,,Edgar Haines,,,,,"Proprieter: Belfast Royal Hippodrome Co. (C.W. Henderson, J.K. Black, E.K. Savage, G.W. Smith, F. Wilmot)Manager: Will Sley (MD) and Harry DownsMusical Director: Edgar Haines","ISN 30/03/1907 (Directors, building), Hughes (address)",Opening variety programme featured the Hipposcope,54.595542,-5.935155,0
67,Cinema67,,"Empire, Belfast",,Theatre,,1899,,Antrim,Belfast,Victoria Square,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,"08/08/1912 (opening, seats, manager, Cook); Ireland's Saturday Night 26/03/1910 (opening, Blake, prices)",,54.598320,-5.926073,0
68,Cinema68,,East Belfast YMCA,,Multipurpose venue,,1899,,Antrim,Belfast,Albertbridge Road,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,,,54.595246,-5.901925,0
69,Cinema69,,Shankill Road Mission,,Multipurpose venue,24-Mar-00,1900,,Antrim,Belfast,116 Shankill Road,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,BNL 24/03/1900 (Boer War films),Opening date reflects first recorded film show,54.603713,-5.945519,0
70,Cinema70,,Panopticon Picture Theatre,,Cinema,22-Feb-12,1912,,Antrim,Belfast,42-6 High Street,"Belfast, County Antrim",Frederick Stewart,Stuart,,J. H. Reade (Feb 1914-),,,340,Gaumont,Proprieter: Frederick StewartManager: StuartMusical Director: J. H. Reade (Feb 1914-),"Bio 29/02/1912 (opening), 11/06/1914 (Read, Stuart?), 30/12/1915 (Stewart, films, Read); Hughes 159 (opening date); NW 24/02/1914 (Reid)","""The new orchestra in the Panopticon, under the capable direction of Mr. J. H. Reid, late leader with the Moody-Manners Opera Company, has delighted the many patrons of the cosy High Street picture theatre. A unique and pleasing addition to the musical sw",54.600309,-5.926606,0
71,Cinema71,,Mountpottinger Picturedrome,Belfast Picturedrome,Cinema,25-Feb-11,1911,,Down,Belfast,112 Mountpottinger Road/Corner,"Belfast, County Down",Ferris Pounds,Francis Pounds (1911-12); James A. Fletcher (Aug. 1923-),,Cyril Mortimer (Aug. 1923),,Campbell & Fairhurst,900,,Proprieter: Ferris PoundsManager: Francis Pounds (1911-12); James A. Fletcher (Aug. 1923-)Musical Director: Cyril Mortimer (Aug. 1923),"BET 25/02/1911, 28/08/1923 (reopening, renovatin); Bio 28/11/1912 (Pounds); Hughs 147",,54.595569,-5.905554,0
72,Cinema72,,Grosvenor Hall,,Multipurpose venue,,1899,,Antrim,Belfast,5 Glengall Street,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,,,54.595279,-5.936101,0
73,Cinema73,,Cosy Corner,"Electric Picture Palace, Empire Palace",Cinema,21-Aug-11,1911,,Armagh,Armagh,Russell Street,"Armagh, County Armagh","Irish Provincial Electric Theatres (1912), Irish Empire Palaces (1913-), Irish Empire Palaces","Michael Casey (1913), A. B. Calvert (1914), Harry Lynton (1915)",,,,Thomas Houston (1913 rebuilding),300,,"Proprieter: Irish Provincial Electric Theatres (1912), Irish Empire Palaces (1913-), Irish Empire PalacesManager: Michael Casey (1913), A. B. Calvert (1914), Harry Lynton (1915)Musical Director: ","Bio 16/05/1912 (mention), 20/06/1912 (names, proprietor, manager, seats, picture paper), 11/07/1912, 19/09/1912 (prices, projection), 15/05/1913 (rebuilding, Houston), 05/03/1914 (Calvert), 11/02/1915 (Lynton)",Illustrated songs and Picture Paper in 1912,54.348827,-6.653026,0
75,Cinema75,,Westmeath County Hall,,Multipurpose venue,20-Nov-13,1913,,Westmeath,Mullingar,Mount Street,"Mullingar, County Westmeath","John J. Farrell, William Kay (1917)",,Doman,,,,,,"Proprieter: John J. Farrell, William Kay (1917)Manager: Musical Director: ","Bio 20/11/1913 (Doman); WME 28/12/1913 (Farrell), 21/08/1915 (Kay)",,53.523821,-7.340367,0
76,Cinema76,,Rink Picture Palace,,Cinema,24-Mar-13,1913,09/10/1916,Sligo,Sligo,Adelaide Street,"Sligo, County Sligo","John Monson (opening); Sligo Living Picture Co (Monson, W Payne Seddon and H.B. Phillips)",,,,,,,,"Proprieter: John Monson (opening); Sligo Living Picture Co (Monson, W Payne Seddon and H.B. Phillips)Manager: Musical Director: ","ST 05/04/1913 (address, Monson), 12/04/1913 (variety, competition); Sligo Nationalist 12/07/1913 (poem); SC 13/09/1913 (company, Payne Seddon)",Date of opening approximate based on ST coverage,54.270997,-8.479950,0
77,Cinema77,,"Rink Palace, Limerick","Electric Theatre Palace, Rink Picture Palace",Cinema,04-Jun-10,1910,02/03/1917,Limerick,Limerick,5 Wellesley Place (now Clontarf Place),"Limerick, County Limerick",,,,,,,,,Proprieter: Manager: Musical Director: ,"Bio 09/06/1910 (opening), 13/10/1910 (disturbance); KLW 09/06/1910 (opening); Walsh 2011 (premises, closing)",,52.657518,-8.634028,0
78,Cinema78,,"Picture Palace, Newry","Electric Picture Palace, Premier Palace",Cinema,28-Mar-10,1910,,Down,Newry,Canal Street,"Newry, County Down","O. E. Davies and R. B. Pinchin (1910); John F. And Louisa Pinchin, Irish Provincial Electric Theatres, Irish Empire Palaces","O. E. Davies (Mar.-Jun. 1910), R. H. B. Pinchin, C. Gunn-Cooke (1912), Colonel Roberts (1913)",J. Woodall,,,,300,,"Proprieter: O. E. Davies and R. B. Pinchin (1910); John F. And Louisa Pinchin, Irish Provincial Electric Theatres, Irish Empire PalacesManager: O. E. Davies (Mar.-Jun. 1910), R. H. B. Pinchin, C. Gunn-Cooke (1912), Colonel Roberts (1913)Musical Director: ","Newry Telegraph 12/03/1910 (location, Pinchin & Davies), 22/03/1910 (Pinchin; Bio 02/06/1910 (Davies, Pinchin), 15/02/1912 (Gunn-Cooke), 22/05/1913 (Canal St), 30/10/1913 (Roberts, Premier Palace), 16/07/1914 (company); Ulster Herald 03/02/1912 (shooting)",Opening date based on first Bio mention; see Kalem Kalendar,54.17937681240111,-6.338140939138169,0
79,Cinema79,,"Town Hall, Sligo",,Multipurpose venue,28-Jan-97,#NUM!,,Sligo,Sligo,Quay Street,"Sligo, County Sligo",,,,,,,,,Proprieter: Manager: Musical Director: ,"SC 23/01/1897 (ad), 30/01/1897 (failure)",Date of opening relates to lecture exhibiting cinematograph with other modern inventions uch as X-rays and phonograph,54.273036,-8.475952,0
80,Cinema80,,Gaiety Bijou,"Gaiety de luxe, Kinema de Luxe, Kinema de Luxe",Cinema,11-Oct-12,1912,,Limerick,Limerick,45 Georges Street,"Limerick, County Limerick",Messrs McCarthy & Sons,Peter McCarthy,Patrick J. Moloney,"Ladies' Orchestra; Gaiety Trio (Blackadder, Ennis +1)","Maude Blackadder, Josephine Ennis of Ladies Orchestra",,450,Gaumont Chrono,"Proprieter: Messrs McCarthy & SonsManager: Peter McCarthyMusical Director: Ladies' Orchestra; Gaiety Trio (Blackadder, Ennis +1)","Bio 13/03/1913, 12/06/1913, 26/03/1914, 08/11/1917",Opening date based on first ad in LL. Gaumont Film Service,52.66152620586607,-8.628859711721324,0
81,Cinema81,,"Coliseum, Cork",,Cinema,09-Sep-13,1913,,Cork,Cork,1-2 King Street (now MacCurtain Street),"Cork, County Cork","Southern Coliseums (David Frame, Henry Grandy, Barry M Eagan, Andy Wright, John Mackey)",Michael J. Tighe,Mr Thompson (1920),,,Thomas Houston,800,Erenmann,"Proprieter: Southern Coliseums (David Frame, Henry Grandy, Barry M Eagan, Andy Wright, John Mackey)Manager: Michael J. TigheMusical Director: ",CC 10/09/1913; CE 11/10/1920 (Thomspon at Opera House),,,,0
82,Cinema82,,"Imperial Cinema, Cork",,Cinema,07-Feb-13,1913,,Cork,Cork,43-4 George's Street (now Oliver Plunkett Street),"Cork, County Cork",McGregor,Hannon (1915),,,,,,,Proprieter: McGregorManager: Hannon (1915)Musical Director: ,"Bio 11/06/1914 (three changes), 25/11/1915 (McGregor); CE 23/11/1915 (Hannon)",,,,0
83,Cinema83,,Tivoli Picture Theatre,,Cinema,20-Nov-12,1912,,Cork,Cork,21 Merchants Quay,"Cork, County Cork",Southern Coliseums (Dec. 1914),,,,,,,,Proprieter: Southern Coliseums (Dec. 1914)Manager: Musical Director: ,Bio 10/12/1914 (change of owner),,,,0
84,Cinema84,,YMCA Lecture Hall,,Multipurpose venue,,1899,,Cork,Cork,11 Malboro Street,"Cork, County Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,,,,,0
85,Cinema85,,Athenaeum Pictures,Athenaeum Hall Picturedrome,Multipurpose venue,07-Sep-14,1914,,Limerick,Limerick,2 Cecil Street,"Limerick, County Limerick",Alex McEwan,,,,,,700,,Proprieter: Alex McEwanManager: Musical Director: ,"CE 01/02/1919 (McEwan prosecuted), 13/06/1919 (seats)","Date based on appearance of such phrases as Picturedrome, pictures",52.660852,-8.627156,0
86,Cinema86,,"Palace, Bangor",Electric Palace,Cinema,01-Apr-13,1913,,Down,Bangor,Quay Street,"Bangor, County Down",,"W. J. Dunseith (1913-15), William Salmond (1915)",,Ms Georgie Green,,,,,"Proprieter: Manager: W. J. Dunseith (1913-15), William Salmond (1915)Musical Director: Ms Georgie Green","North Down Herald 14/11/1913; Bio 03/04/1913 (opening, decoration), 30/10/1913, 11/02/1915 (ownership change), 15/04/1915 (Salmond); KLW 30/10/1913 (Green)",,,,0
87,Cinema87,,Bangor Picture House,,Cinema,25-Aug-13,1913,,Down,Bangor,Main Street,"Bangor, County Down",,William Salmond,William Branagh (-Nov. 1914),,,,,,Proprieter: Manager: William SalmondMusical Director: ,"Bio 28/08/1913, 30/10/1913, 11/02/1915 (ownership change); North Down Herald 21/11/1913",Opening date based on first Bio reference,,,0
88,Cinema88,,Electric Picture Palace,Silver Cinema,Cinema,22-Aug-10,1910,c.1915,Antrim,Belfast,19-21 York  Street,"Belfast, County Antrim",Fred Stewart,,,,"John McGrogan (1910: piano), Charles Hunter (1911-)",,,,Proprieter: Fred StewartManager: Musical Director: ,"Belfast directory 1913; Hughes 136 (opening date, closing, McGrogan, Hunter); Bio 26/12/1912 (opening 12/12/1912)",,54.603532,-5.929635,0
89,Cinema89,,Clonard Picture House,,Cinema,22-Dec-13,1913,,Antrim,Belfast,140 Falls Road,"Belfast, County Antrim",,W. J. Hogan,,J. Boyle (1913),,W. J. Moore,1100,,Proprieter: Manager: W. J. HoganMusical Director: J. Boyle (1913),"Bio 1/01/1914; Irish Builder 3/01/1914; NW 23/12/1913 (seats, Boyle, etc.)","Orchestra consisted of piano, 1st and 2nd violins, bass, clarionet and trombone",54.597726,-5.952208,0
90,Cinema90,,Central Picture Theatre,,Cinema,22-Dec-13,1913,,Antrim,Belfast,Smithfield,"Belfast, County Antrim",Edward McCavana,,,,,,512,Gaumont Chrono (2),Proprieter: Edward McCavanaManager: Musical Director: ,"Bio 09/10/1913 (seats 450, construction), 01/01/1914; Irish Builder 3/01/1914; NW 23/12/1913 (seats 512, orchestra)",Orchestra consisted of piano and violin,54.600556,-5.932859,0
91,Cinema91,,West Belfast Picture Theatre,West Belfast Electric Theatre,Cinema,18-Dec-12,1912,,Antrim,Belfast,74 Albert Street,"Belfast, County Antrim",,W. H. Connolly (-Mar 1913); Edward McCavana (Mar 1913-); George Malcolm,,,,,1400,,Proprieter: Manager: W. H. Connolly (-Mar 1913); Edward McCavana (Mar 1913-); George MalcolmMusical Director: ,"Bio 6/03/1913,  9/01/1914; Hughes 166",,,,0
92,Cinema92,,"Picture House, Donaghadee",,Cinema,06-Apr-14,1914,,Down,Donaghadee,Manor Street,"Donaghadee, County Down",,R. J. Evans,,,,,,,Proprieter: Manager: R. J. EvansMusical Director: ,"Bio 20/11/1913 (slow building), 08/01/1914 (still building), 23/07/1914 (Evans)",Date of opening approximate; address also a guess based on later Regal Cinema (Cinema Treasures),,,0
93,Cinema93,,Crumlin Picture House,,Cinema,23-Mar-14,1914,,Antrim,Belfast,Crumlin Road,"Belfast, County Antrim","J. C. Carson, Herbert Ayliffe and Fred Stewart",George Stewart,,,,W.J. Moore,963,Gaumont,"Proprieter: J. C. Carson, Herbert Ayliffe and Fred StewartManager: George StewartMusical Director: ","Bio 30/10/1913, 09/07/1914 (Stewart); Irish News 24/03/1914 (seats 830), Ayliffe in Census 1911, Irish Builder 11/04/1914, 3/01/1914; Belfast Newsletter 24/03/1914",Ladies Orchestra,,,0
94,Cinema94,,Great Northern Kinema,Kinema House,Cinema,04-Apr-14,1914,,Antrim,Belfast,"Kinema House, Great Victoria Street","Belfast, County Antrim",,Mr. George,,W. J. Lubin (1917),,W.I. W. Roome,550,,Proprieter: Manager: Mr. GeorgeMusical Director: W. J. Lubin (1917),"Bio 21/05/1914 (decorative features, seats); Bio 03/12/1914 (George and serials); BN 05/06/1917 (Lubin)",,,,0
95,Cinema95,,"Picture Palace , Newtownards",Frances Street Cinema,Cinema,,1899,,Down,Newtownards,Frances Street,"Newtownards, County Down",,S.H. Dawson,William Blair,Miss Thrush,"Mabel Heron (pianist), Miss McAlea (piano), Frank Adair (violin)",,350,Gaumont,Proprieter: Manager: S.H. DawsonMusical Director: Miss Thrush,"Bio 19/02/1914, 21/05/1914, 22/10/1914 (article: renovations, Blair, projector, Thrush), 24/12/1914 (musicians); KLW 19/03/1913 (Dawson)",Reopened after renovations 15/10/1914,,,0
96,Cinema96,,"Empire, Dublin","Star Theatre of Varieties (1890s), Olympia Theatre",Theatre,,1899,,Dublin,Dublin,Dame Street,"Dublin, County Dublin",,Mr. Armstrong (1914),,,,,,,Proprieter: Manager: Mr. Armstrong (1914)Musical Director: ,Bio 28/04/1914,,,,0
97,Cinema97,,"Picture Palace, Omagh",Omagh Picture House,Cinema,02-Nov-12,1912,,Tyrone,Omagh,45 High Street,"Omagh, County Tyrone",Electric Picture Company (Charles Bronson); Mrs Miller (1921),Alex Cockle (Jan 1913-14),Mr. Stephens,Mrs Bronson,Charles Bronson's cornet solos; his and Mrs Bronson's singing,,,,Proprieter: Electric Picture Company (Charles Bronson); Mrs Miller (1921)Manager: Alex Cockle (Jan 1913-14)Musical Director: Mrs Bronson,"UH 12/10/1912, 26/10/1912, 02/11/1912, 15/02/1913 (Stephens), 22/01/1921 (Miller)",Location based on address on Cinema Treasures; building modified from the Royal Assembly Hall; controversy in 1914 when unionist films shown,54.599997,-7.302008,0
98,Cinema98,,West-End Picture House,,Cinema,09-Oct-13,1913,,Antrim,Belfast,108 Shankill Road,"Belfast, County Antrim",,George Malcolm,,,,,,,Proprieter: Manager: George MalcolmMusical Director: ,"Bio 09/10/1913 (opening, Malcolm); Hughes 178",,,,0
99,Cinema99,,Coleraine Picture Palace,,Cinema,14-Sep-12,1912,,Derry,Coleraine,Union Street,"Coleraine, County Derry",Irish Living Picture Company (Payne Seddon),"R.L. Sheridan (1912), Mr Van Biene (1913)",,,"Emily Cawley (1913), Miss Casson (pianiste)",,,Gaumont Chrono,"Proprieter: Irish Living Picture Company (Payne Seddon)Manager: R.L. Sheridan (1912), Mr Van Biene (1913)Musical Director: ","KLW 03/10/1912 (opening date, address, Orange Hall, Sheridan, Irish Living Pic Co); Bio 02/10/1913 (Van Biene), 19/02/1914 (Casson), 21/01/1915 (Chrono);",,,,0
100,Cinema100,,"Imperial, Belfast",,Cinema,07-Dec-14,1914,,Antrim,Belfast,Corn Market,"Belfast, County Antrim",Ulster Cinematograph Theatres,,,"Herbert Mortimer (1916), Dan Harrison (1923) and the Imperial Orchestra",,,,,"Proprieter: Ulster Cinematograph TheatresManager: Musical Director: Herbert Mortimer (1916), Dan Harrison (1923) and the Imperial Orchestra","Bio 10/12/1914 (full page on building and opening), BT 09/12/1914 (opening); BNL 18/04/1916 (Mortimer), 20/03/1923 (Harrison)",,,,0
101,Cinema101,,"Picture House, Newtownards",,Cinema,,1899,06/11/1920,Down,Newtownards,Regent Street,"Newtownards, County Down",Irish Electric Palaces,Herbert Rogers,,,,,,,Proprieter: Irish Electric PalacesManager: Herbert RogersMusical Director: ,"Bio 26/03/1914 (advertising), 17/09/1914; BNL 08/11/1920 (fire)",Gutted by fire on 06/11/1920 and seems never to have reopened,,,0
102,Cinema102,,Lisburn  Palace,,Cinema,01-Nov-12,1912,,Antrim,Lisburn,Railway Street,"Lisburn, County Antrim",Electric Picture Company,Hadskis Dawson,Doman,,,,,,Proprieter: Electric Picture CompanyManager: Hadskis DawsonMusical Director: ,"Bio 28/11/1912, 06/03/1913 (Dawson), 20/11/1913 (Doman), 15/01/1914 (Dawson), 07/05/1914 (continuous shows)",Opening date a guess based on Bio 28/11/1912; ads shwo it was in the Orange Hall on Railway St,54.512935,-6.043639,0
103,Cinema103,,"Picture House, Lisburn",,Cinema,20-Dec-12,1912,,Antrim,Lisburn,Market Street,"Lisburn, County Antrim",,Hadskis Dawson (-Feb. 1913); S. Darlington (Mar. 1913-),Michelson,,,Thomas Houston,,,Proprieter: Manager: Hadskis Dawson (-Feb. 1913); S. Darlington (Mar. 1913-)Musical Director: ,"Bio 09/01/1913 (long item, Dawson), 06/03/1913 (Darlington), 09/01/1913 (church), 20/02/1913 (Dawson), 20/11/1913 (Michelson), 15/01/1914 (Dawson), 07/05/1914 (extended); Irish Architectural Archive (Houston)",Opening date approximate; First church in Ulster converted to cinema,54.511332,-6.044838,0
104,Cinema104,,Kilkenny Cinema,,Cinema,16-Nov-14,1914,,Kilkenny,Kilkenny,1 Parliament Street,"Kilkenny, County Kilkenny","Kilkenny Cinema Co. (Thomas Stallard, Peter de Loughrey)",Thomas Stallard; T. J. Brown,,,,,,Gaumont Chrono,"Proprieter: Kilkenny Cinema Co. (Thomas Stallard, Peter de Loughrey)Manager: Thomas Stallard; T. J. BrownMusical Director: ","Bio 06/08/1914 (company, Stallard), 21/01/1915 (Chrono); KP 14/11/1914 (licence, opening, address); KP Nov 1916 ads",,,,0
105,Cinema105,,Skibbereen Picture Palace,,Cinema,17-Nov-19,1919,,Cork,Skibbereen,North Street,"Skibbereen, County Cork",MW O'Driscoll,,,,,,,,Proprieter: MW O'DriscollManager: Musical Director: ,"Cork County Eagle 15/11/1919 (licence, AOH Hall, O'Driscoll, approx opening)",Opening approximate. Cited in AOH Hall,51.550619,-9.265383,0
106,Cinema106,,Roscrea Cinema,,Cinema,26-Dec-14,1914,,Tipperary,Roscrea,Gaol Road,"Roscrea, County Tipperary",Powell (1920),,,,,,,,Proprieter: Powell (1920)Manager: Musical Director: ,"Bio 21/01/1915; FJ 02/07/1920 (Powell, China Hall)","Necessities for opening provided by Norman Whitten, according to Bioscope. Attached to China Hall.",52.953641,-7.793604,0
107,Cinema107,,"Coliseum, Belfast",,Cinema,08-Feb-15,1915,,Antrim,Belfast,Grosvenor Road (Barrack Street intersection),"Belfast, County Antrim",,James Burt,,,,,,,Proprieter: Manager: James BurtMusical Director: ,"Bio 04/02/1915, 18/02/1915, 04/03/1915",Formerly Belfast Paladium,,,0
108,Cinema108,,Park Street Picture House,,Cinema,17-Oct-12,1912,,Louth,Dundalk,71 Park Street,"Dundalk, County Louth","Irish Provincial Electric Theatres (-21/02/1912); Irish Empire Palaces (Captain J. F. Pinchin, John Macay, A. T. Wright, M. V. Blacker-Douglas), Irish Empire Palaces","Roebuck (1912), Louis E. Forster (1913), Robert McCourt (July 1914-); W.H. Kane (1923)","Robert McCourt, William McCourt",,,,450,,"Proprieter: Irish Provincial Electric Theatres (-21/02/1912); Irish Empire Palaces (Captain J. F. Pinchin, John Macay, A. T. Wright, M. V. Blacker-Douglas), Irish Empire PalacesManager: Roebuck (1912), Louis E. Forster (1913), Robert McCourt (July 1914-); W.H. Kane (1923)Musical Director: ","Bio 07/03/1912 (prop.), 08/08/1912 (co.), 20/11/1913 (Forster), 11/06/1914 (seats, decoration, posters, prices, operator, topicals, variety), 10/12/1914 (variety),  05/03/1914, 09/07/1914 (McCourt manager), 12/11/1914 (twice nightly); Cine Yr Book 1915; DD 24/11/1923 (Kane benefit)",,54.001956973626136,-6.403812430247107,0
109,Cinema109,,New Princess,,Cinema,29-Jul-12,1912,,Down,Belfast,307 Newtownards Road,"Belfast, County Down",,Francis Pounds (1912-),,,,,1000,,Proprieter: Manager: Francis Pounds (1912-)Musical Director: ,"Bio 08/08/1912 (opening, seats, manager, Cook), 28/11/1912 (Pounds)",,54.598364,-5.895579,0
110,Cinema110,,Blackrock Cinema Theatre,"Grand Picture House/Cinema, Blackrock",Cinema,28-Feb-14,1914,25/03/1961,Dublin,Blackrock,13 Main Street,"Blackrock, County Dublin","Blackrock Kinematograph Theatres (H. A. Barron, J. M. Elliman, J. Hanna, P. Sayers)",,,,,,650,,"Proprieter: Blackrock Kinematograph Theatres (H. A. Barron, J. M. Elliman, J. Hanna, P. Sayers)Manager: Musical Director: ","Bio 13/11/1913 (company), 05/03/1914 (opening, seating), 25/02/1915; EH 27/02/1914 (opening)",,,,0
111,Cinema111,,Fr Mathew Hall,,Multipurpose venue,16-Dec-12,1912,,Cork,Cork,8 Queen Street (now Fr Mathew Street),"Cork, County Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,,,,,0
112,Cinema112,,St Mary's Hall,,Multipurpose venue,21-Oct-12,1912,,Cork,Cork,St Mary's Road,"Cork, County Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,,,,,0
113,Cinema113,,Empire Picture Palace,"Electric Picture Palace, Emerald Picture House",Cinema,01-Oct-13,1913,,Wicklow,Arklow,South Quay,"Arklow, County Wicklow",R.A. Prout; Alexander McGowan,R. A. Prout; Alexander McGowan (1916),Harry Mitchelson,,,,,,Proprieter: R.A. Prout; Alexander McGowanManager: R. A. Prout; Alexander McGowan (1916)Musical Director: ,"WP 04/10/1913 (opening, Prout, McGowan); Bio 30/10/1913 (manager), 20/11/1913 (Mitchelson), 06/01/1916; KLW 30/10/1913 (name, Prout, Mitchelson); WNL 27/11/1915 (address, McGowan); KLW 14/09/1916 (McGowan)",Location is approximate; McGowan's Hall is not on OSi maps,"52.798065, -6.152074",-6.152074,0
